"","Year","Vessel.Type"
"573",1999,"Other"
"574",1989,"Other"
"575",2013,"CARGO"
"576",2013,"BULK CARRIER"
"577",2013,"TANKER"
"578",2013,"TANKER"
"579",2013,"TANKER"
"580",2012,"TANKER"
"581",2012,"TANKER"
"582",2012,"BULK CARRIER"
"583",2011,"CONTAINER SHIP"
"584",2011,"BULK CARRIER"
"585",2011,"BULK CARRIER"
"586",2011,"CONTAINER SHIP"
"587",2011,"BULK CARRIER"
"588",2011,"Other"
"589",2011,"CONTAINER SHIP"
"590",2011,"CARGO"
"591",2011,"CONTAINER SHIP"
"592",2011,"BULK CARRIER"
"593",2011,"FISHING"
"594",2010,"TANKER"
"595",2010,"TANKER"
"596",2010,"BULK CARRIER"
"597",2010,"CARGO"
"598",2010,"TANKER"
"599",2010,"BULK CARRIER"
"600",2010,"BULK CARRIER"
"601",2010,"CARGO"
"602",2010,"Other"
"603",2010,"TANKER"
"604",2010,"TANKER"
"605",2010,"CARGO"
"606",2010,"CARGO"
"607",2009,"SS/USS"
"608",2009,"CONTAINER SHIP"
"609",2009,"Other"
"610",2009,"SS/USS"
"611",2009,"TANKER"
"612",2009,"TANKER"
"613",2009,"TANKER"
"614",2009,"BULK CARRIER"
"615",2009,"Other"
"616",2009,"CONTAINER SHIP"
"617",2009,"TANKER"
"618",2009,"TANKER"
"619",2008,"YACHT"
"620",2008,"Other"
"621",2008,"Other"
"622",2008,"SS/USS"
"623",2008,"CARGO"
"624",2008,"Other"
"625",2008,"Other"
"626",2008,"YACHT"
"627",2008,"Other"
"628",2008,"YACHT"
"629",2008,"YACHT"
"630",2008,"YACHT"
"631",2008,"Other"
"632",2008,"YACHT"
"633",2008,"YACHT"
"634",2008,"FISHING"
"635",2008,"FISHING"
"636",2008,"YACHT"
"637",2008,"YACHT"
"638",2008,"FISHING"
"639",2008,"YACHT"
"640",2007,"FISHING"
"641",2007,"FISHING"
"642",2007,"FISHING"
"643",2007,"CONTAINER SHIP"
"644",2007,"Other"
"645",2007,"FISHING"
"646",2007,"MERCHANT"
"647",2007,"MERCHANT"
"648",2007,"MERCHANT"
"649",2007,"FISHING"
"650",2007,"MERCHANT"
"651",2006,"YACHT"
"652",2006,"YACHT"
"653",2006,"MERCHANT"
"654",2006,"FISHING"
"655",2006,"YACHT"
"656",2006,"FISHING"
"657",2006,"MERCHANT"
"658",2006,"MERCHANT"
"659",2006,"MERCHANT"
"660",2006,"MERCHANT"
"661",2006,"FISHING"
"662",2006,"MERCHANT"
"663",2006,"SS/USS"
"664",2006,"FISHING"
"665",2006,"MERCHANT"
"666",2006,"MERCHANT"
"667",2006,"MERCHANT"
"668",2006,"MERCHANT"
"669",2006,"MERCHANT"
"670",2006,"MERCHANT"
"671",2006,"FISHING"
"672",2006,"FISHING"
"673",2006,"YACHT"
"674",2006,"MERCHANT"
"675",2006,"MERCHANT"
"676",2006,"MERCHANT"
"677",2005,"MERCHANT"
"678",2005,"YACHT"
"679",2005,"MERCHANT"
"680",2005,"FISHING"
"681",2005,"MERCHANT"
"682",2005,"MERCHANT"
"683",2004,"MERCHANT"
"684",2004,"MERCHANT"
"685",2004,"MERCHANT"
"686",2004,"MERCHANT"
"687",2004,"MERCHANT"
"688",2004,"MERCHANT"
"689",2004,"MERCHANT"
"690",2004,"MERCHANT"
"691",2004,"MERCHANT"
"692",2004,"MERCHANT"
"693",2004,"FISHING"
"694",2004,"YACHT"
"695",2004,"FISHING"
"696",2004,"MERCHANT"
"697",2004,"YACHT"
"698",2004,"MERCHANT"
"699",2004,"MERCHANT"
"700",2004,"YACHT"
"701",2003,"MERCHANT"
"702",2003,"MERCHANT"
"703",2003,"FISHING"
"704",2003,"MERCHANT"
"705",2003,"MERCHANT"
"706",2003,"MERCHANT"
"707",2003,"MERCHANT"
"708",2003,"MERCHANT"
"709",2003,"MERCHANT"
"710",2003,"MERCHANT"
"711",2003,"MERCHANT"
"712",2003,"MERCHANT"
"713",2003,"MERCHANT"
"714",2003,"MERCHANT"
"715",2003,"MERCHANT"
"716",2003,"MERCHANT"
"717",2003,"MERCHANT"
"718",2003,"MERCHANT"
"719",2003,"MERCHANT"
"720",2003,"MERCHANT"
"721",2003,"MERCHANT"
"722",2003,"MERCHANT"
"723",2003,"MERCHANT"
"724",2003,"MERCHANT"
"725",2002,"MERCHANT"
"726",2002,"MERCHANT"
"727",2002,"MERCHANT"
"728",2002,"Other"
"729",2002,"MERCHANT"
"730",2002,"MERCHANT"
"731",2002,"MERCHANT"
"732",2002,"MERCHANT"
"733",2002,"MERCHANT"
"734",2002,"MERCHANT"
"735",2002,"MERCHANT"
"736",2002,"YACHT"
"737",2002,"MERCHANT"
"738",2002,"MERCHANT"
"739",2002,"MERCHANT"
"740",2002,"MERCHANT"
"741",2002,"MERCHANT"
"742",2002,"MERCHANT"
"743",2002,"MERCHANT"
"744",2002,"MERCHANT"
"745",2002,"MERCHANT"
"746",2002,"MERCHANT"
"747",2002,"MERCHANT"
"748",2002,"MERCHANT"
"749",2002,"MERCHANT"
"750",2002,"MERCHANT"
"751",2001,"MERCHANT"
"752",2001,"YACHT"
"753",2001,"Other"
"754",2001,"MERCHANT"
"755",2001,"MERCHANT"
"756",2001,"Other"
"757",2001,"Other"
"758",2000,"MERCHANT"
"759",2000,"Other"
"760",2000,"Other"
"761",2000,"MERCHANT"
"762",2000,"Other"
"763",2000,"Other"
"764",2000,"MERCHANT"
"765",2000,"Other"
"766",2000,"Other"
"767",2000,"MERCHANT"
"768",2000,"Other"
"769",1999,"FISHING"
"770",1999,"Other"
"771",1999,"Other"
"772",1999,"Other"
"773",1999,"Other"
"774",1999,"Other"
"775",1998,"Other"
"776",1998,"Other"
"777",1998,"Other"
"778",1998,"Other"
"779",1998,"SS/USS"
"780",1998,"TANKER"
"781",1997,"CONTAINER SHIP"
"782",1997,"MERCHANT"
"783",1997,"Other"
"784",1997,"MERCHANT"
"785",1997,"MERCHANT"
"786",1997,"MERCHANT"
"787",1997,"MERCHANT"
"788",1996,"MERCHANT"
"789",1996,"MERCHANT"
"790",1996,"MERCHANT"
"791",1996,"MERCHANT"
"792",1995,"Other"
"793",1995,"SS/USS"
"794",1995,"Other"
"795",1995,"MERCHANT"
"796",1995,"Other"
"797",1995,"Other"
"798",1995,"Other"
"799",1995,"MERCHANT"
"800",1995,"CONTAINER SHIP"
"801",1995,"MERCHANT"
"802",1995,"MERCHANT"
"803",1995,"Other"
"804",1995,"Other"
"805",1995,"MERCHANT"
"806",1995,"MERCHANT"
"807",1994,"MERCHANT"
"808",1994,"Other"
"809",1994,"MERCHANT"
"810",1994,"Other"
"811",1994,"MERCHANT"
"812",1994,"MERCHANT"
"813",1994,"MERCHANT"
"814",1994,"MERCHANT"
"815",1994,"MERCHANT"
"816",1994,"MERCHANT"
"817",1994,"MERCHANT"
"818",1994,"MERCHANT"
"819",1994,"Other"
"820",1994,"MERCHANT"
"821",1994,"MERCHANT"
"822",1994,"MERCHANT"
"823",1994,"MERCHANT"
"824",1994,"MERCHANT"
"825",1994,"MERCHANT"
"826",1994,"MERCHANT"
"827",1994,"MERCHANT"
"828",1993,"MERCHANT"
"829",1993,"MERCHANT"
"830",1993,"MERCHANT"
"831",1993,"MERCHANT"
"832",1993,"MERCHANT"
"833",1993,"MERCHANT"
"834",1993,"MERCHANT"
"835",1993,"MERCHANT"
"836",1993,"MERCHANT"
"837",1992,"MERCHANT"
"838",1992,"MERCHANT"
"839",1992,"MERCHANT"
"840",1992,"MERCHANT"
